transaction_id,serial_number,assessed_value,sales_amount,sales_ratio,address_id,property_type_id,date_recorded_id,property type,address,town_id,longitude,latitude,town,month,day,quarter,year,full_date,rate_x,lower_bound,upper_bound,census_units,total_assisted_units,rate_y
107761,210012,533200.0,715000.0,0.7457,103422,6,299,Vacant Land,1 GREAT MARSH RD,96,-71.990585326,41.324792071,Stonington,10.0,7.0,4.0,2021,2021-10-07,,,,,,
660932,110302,147770.0,120000.0,1.231416667,537535,4,4136,Two Family,86-88 PRISILLA CIRCLE,11,,,Bridgeport,12.0,19.0,4.0,2011,2011-12-19,,,,,,
411133,50230,89900.0,1.0,89900.0,160233,11,3091,,13 CHASE ST,85,-71.9138158,41.9294412,Putnam,8.0,16.0,3.0,2006,2006-08-16,,,,,,
626055,111389,134600.0,100000.0,1.346,511594,1,4718,Single Family,169 LAKEVIEW AVE,11,-73.1860577,41.2139421,Bridgeport,9.0,13.0,3.0,2012,2012-09-13,,,,,,
144625,10448,109830.0,268000.0,0.409813433,137174,11,578,,53-55 JEWETT AVE,11,,,Bridgeport,11.0,29.0,4.0,2001,2001-11-29,,,,,,
450554,60247,456190.0,600000.0,0.760316667,382439,1,3356,Single Family,594 STRATFIELD RD,34,-73.2266297,41.1939479,Fairfield,12.0,18.0,4.0,2006,2006-12-18,,,,,,
401861,40339,132200.0,440000.0,0.300454545,347216,11,2866,,229 W WAKEFIELD BLVD,140,,,Winchester,8.0,23.0,3.0,2005,2005-08-23,,,,,,
793050,140822,136370.0,209000.0,0.652488038,632759,1,5491,Single Family,84 LAKEVIEW AVE,90,-73.1051892,41.3227553,Shelton,3.0,27.0,1.0,2015,2015-03-27,,,,,,
38614,2020202,303200.0,470000.0,0.6451,37728,1,71,Single Family,4 WILLOW BROOK FARM RD,70,-72.41353,41.29836,Old Saybrook,4.0,5.0,2.0,2021,2021-04-05,,,,,,
726640,130413,53260.0,42000.0,1.268095238,585767,5,5213,Condo,85-62 OLD TOWN RD,104,,,Vernon,9.0,15.0,3.0,2014,2014-09-15,,,,,,
1029425,190598,322500.0,540000.0,0.5972,130227,1,2232,Single Family,91 STONEPOST RD,36,-72.58238,41.67096,Glastonbury,9.0,3.0,3.0,2020,2020-09-03,,,,,,
450249,61243,190100.0,379900.0,0.500394841,382213,5,1194,Condo,2102 BRIAR WOODS LN,19,,,Danbury,8.0,16.0,3.0,2007,2007-08-16,,,,,,
876105,16176,144970.0,248000.0,0.584556452,527587,1,5887,Single Family,61 HUNTINGTON DR,72,-71.8866291,41.6894971,Plainfield,5.0,30.0,2.0,2017,2017-05-30,,,,,,
751260,130351,208000.0,300000.0,0.693333333,58608,1,5241,Single Family,22 LONGVIEW RD,103,-73.1519085,41.2456156,Trumbull,6.0,18.0,2.0,2014,2014-06-18,,,,,,
752306,149199,332710.0,250000.0,1.33084,361900,2,5423,Three Family,214 HIGH ST,43,,,Groton,3.0,3.0,1.0,2015,2015-03-03,,,,,,
1126701,23088,9030.0,15000.0,0.602,273943,6,6988,Vacant Land,0 BAKER RD,100,,,Thompson,3.0,14.0,1.0,2024,2024-03-14,,,,,,
145134,10251,45710.0,159900.0,0.285866166,137605,11,706,,39 IVES ST U105,41,,,Hamden,12.0,17.0,4.0,2001,2001-12-17,,,,,,
644381,100050,238100.0,285000.0,0.835438596,525238,4,4484,Two Family,151 DOVER ROAD,111,,,West Hartford,10.0,25.0,4.0,2010,2010-10-25,,,,,,
40384,200031,71050.0,122000.0,0.5823,39458,5,59,Condo,220 MAIN STREET 6L,151,,,New Hartford,11.0,16.0,4.0,2020,2020-11-16,,,,,,
863837,16000097,161360.0,222500.0,0.725213483,642119,1,5889,Single Family,8 WOODLAND DR,38,-72.7950856,41.9296121,Granby,5.0,5.0,2.0,2017,2017-05-05,,,,,,
906233,160073,85690.0,125000.0,0.68552,706910,1,5852,Single Family,41C TUDOR MEADOW,115,,,Southington,11.0,4.0,4.0,2016,2016-11-04,,,,,,
443911,51799,1156260.0,1875000.0,0.616672,88857,11,3175,,22 HILLTOP RD,66,-73.424387031,41.075999016,Norwalk,8.0,25.0,3.0,2006,2006-08-25,,,,,,
458158,50337,154560.0,375000.0,0.41216,387876,11,3203,,203 FOX RUN,90,,,Shelton,2.0,28.0,1.0,2006,2006-02-28,,,,,,
484980,60130,461230.0,1079787.0,0.427149058,407224,1,3374,Single Family,23 GOODSELL HL RD,114,,,Redding,9.0,14.0,3.0,2007,2007-09-14,,,,,,
1003183,180619,87040.0,78750.0,1.1052,428012,1,6291,Single Family,88 WEAVER ST,94,-73.1058782,41.8000767,Torrington,7.0,3.0,3.0,2019,2019-07-03,,,,,,
741839,130027,203800.0,280000.0,0.727857143,596810,1,5116,Single Family,39 MCCULLOCH DR,78,-72.4898239,42.0101078,Somers,12.0,18.0,4.0,2013,2013-12-18,,,,,,
215163,20280,122310.0,265000.0,0.46154717,170988,11,2351,,11 WALKER RD,159,-73.1852069,41.5598642,Woodbury,8.0,29.0,3.0,2003,2003-08-29,,,,,,
